question_id,title,url,platform,difficulty,topic,subtopic,pattern,companies,frequency,estimated_time,revision_priority,explanation_url,video_url,neetcode_ref,striver_ref,tags,xp_reward,unlock_level,prerequisites,level,category,alt_url
hm-l3-1,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,LeetCode,Medium,hashmaps,hashset,hashset,Google,high,40,critical,,,,,Hashset,50,3,,3,interview,
hm-l4-1,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,LeetCode,Medium,hashmaps,prefix+hashmap,prefix+hashmap,Facebook,very-high,40,critical,,,,,Prefix+hashmap,50,4,,4,mock,
sort-l1-1,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,LeetCode,Easy,sorting,two-pointer,two-pointer,TCS,low,20,low,,,,,Two Pointer,50,1,,1,beginner,
sort-l2-1,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,LeetCode,Easy,sorting,merge,merge,Goldman Sachs|Microsoft,high,20,medium,,,,,Merge,50,2,,2,easy,
sort-l2-2,Sort Colors,https://leetcode.com/problems/sort-colors/,LeetCode,Medium,sorting,dutch-flag,dutch-flag,Oracle,high,40,high,,,,,Dutch Flag,50,2,,2,medium,
bs-l1-1,Binary Search,https://leetcode.com/problems/binary-search/,LeetCode,Easy,binary-search,template,template,All,very-high,20,critical,,,binary-search,,Template,50,1,,1,beginner,
bs-l2-1,Search Insert Position,https://leetcode.com/problems/search-insert-position/,LeetCode,Easy,binary-search,lower-bound,lower-bound,TCS,high,20,medium,,,,,Lower Bound,50,2,,2,easy,
bs-l2-2,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,LeetCode,Medium,binary-search,modified-bs,modified-bs,Amazon|Morgan Stanley,high,40,high,,,,,Modified Bs,50,2,,2,medium,
bs-l3-1,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,LeetCode,Medium,binary-search,modified-bs,modified-bs,Amazon|D.E. Shaw|Flipkart,very-high,40,critical,,,,,Modified Bs,50,3,,3,interview,
bs-l3-2,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,LeetCode,Medium,binary-search,search-on-answer,search-on-answer,Google,high,40,high,,,,,Search On Answer,50,3,,3,interview,
bs-l4-1,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,LeetCode,Hard,binary-search,partition,partition,Google,medium,60,medium,,,,,Partition,50,4,,4,mock,
sw-l1-1,Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i/,LeetCode,Easy,sliding-window,fixed-window,fixed-window,Wipro,medium,20,medium,,,,,Fixed Window,50,1,,1,beginner,
sw-l2-2,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,LeetCode,Medium,sliding-window,variable-window,variable-window,Goldman,high,40,high,,,,,Variable Window,50,2,,2,medium,
sw-l3-1,Permutation in String,https://leetcode.com/problems/permutation-in-string/,LeetCode,Medium,sliding-window,fixed-window,fixed-window,Microsoft,high,40,high,,,,,Fixed Window,50,3,,3,interview,
tp-l2-1,Two Sum II,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,LeetCode,Medium,two-pointer,opposite,opposite,Amazon,high,40,high,,,,,Opposite,50,2,,2,medium,
tp-l2-2,3Sum,https://leetcode.com/problems/3sum/,LeetCode,Medium,two-pointer,sort+two-pointer,sort+two-pointer,Adobe|Amazon|Facebook|Morgan Stanley,very-high,40,critical,,,,,Sort+two Pointer,50,2,,2,medium,
tp-l3-1,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,LeetCode,Medium,two-pointer,opposite,opposite,Adobe|Dunzo|Flipkart|Google|Intuit,high,40,high,,,,,Opposite,50,3,,3,interview,
tp-l4-1,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,LeetCode,Hard,two-pointer,two-pointer,two-pointer,Adobe|Amazon|Samsung,high,60,high,,,,,Two Pointer,50,4,,4,mock,
st-l1-1,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,LeetCode,Easy,stack,stack,stack,Accenture|Google|TCS,very-high,20,critical,,,,,Stack,50,1,,1,beginner,
st-l2-1,Min Stack,https://leetcode.com/problems/min-stack/,LeetCode,Medium,stack,design,design,Amazon,high,40,medium,,,,,Design,50,2,,2,medium,
st-l2-2,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,LeetCode,Medium,stack,stack,stack,LinkedIn,medium,40,medium,,,,,Stack,50,2,,2,medium,
st-l3-1,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,LeetCode,Medium,stack,monotonic-stack,monotonic-stack,Google,high,40,high,,,,,Monotonic Stack,50,3,,3,interview,
st-l3-2,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,LeetCode,Hard,stack,monotonic-stack,monotonic-stack,Google,medium,60,medium,,,,,Monotonic Stack,50,3,,3,interview,
qu-l1-1,Implement Stack Using Queues,https://leetcode.com/problems/implement-stack-using-queues/,LeetCode,Easy,queue,queue,queue,Amazon|Facebook|Infosys,low,20,medium,,,,,Queue,50,1,,1,beginner,
qu-l2-1,Number of Recent Calls,https://leetcode.com/problems/number-of-recent-calls/,LeetCode,Easy,queue,queue,queue,Microsoft,medium,20,medium,,,,,Queue,50,2,,2,easy,
qu-l2-2,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,LeetCode,Medium,stack,BFS,BFS,D.E. Shaw|Goldman Sachs|Meta,high,40,critical,,,,,Bfs,50,2,,2,medium,
qu-l3-1,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,LeetCode,Hard,queue,deque,deque,Adobe|Amazon|Directi|Flipkart|Goldman Sachs|Google|Microsoft,high,60,high,,,,,Deque,50,3,,3,interview,
ll-l1-1,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,LeetCode,Easy,linked-list,iteration,iteration,Goldman Sachs|Sprinklr,very-high,20,critical,,,reverse-linked-list,,Iteration,50,1,,1,beginner,
ll-l1-2,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,LeetCode,Easy,linked-list,dummy-head,dummy-head,Amazon|Goldman Sachs|MakeMyTrip|Microsoft,high,20,high,,,,,Dummy Head,50,1,,1,easy,
ll-l2-1,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,LeetCode,Easy,linked-list,slow-fast,slow-fast,D.E. Shaw|Microsoft|Oracle,high,20,critical,,,,,Slow Fast,50,2,,2,easy,
ll-l2-2,Reorder List,https://leetcode.com/problems/reorder-list/,LeetCode,Medium,linked-list,multi-technique,multi-technique,Amazon|Intuit|Microsoft|Oyo|Rooms,high,40,high,,,,,Multi Technique,50,2,,2,medium,
ll-l3-1,Remove Nth Node From End,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,LeetCode,Medium,linked-list,two-pointer,two-pointer,Adobe|Amazon|Morgan Stanley,high,40,high,,,,,Two Pointer,50,3,,3,interview,
ll-l3-2,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,LeetCode,Medium,linked-list,hashmap,hashmap,Meta,medium,40,medium,,,,,Hashmap,50,3,,3,interview,
ll-l4-1,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,LeetCode,Hard,linked-list,heap,heap,Bay|Google|Microsoft|Ola,high,60,high,,,,,Heap,50,4,,4,mock,
tr-l1-1,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,LeetCode,Easy,trees,DFS,DFS,D.E. Shaw|Infosys|Microsoft|Wipro,very-high,20,critical,,,,,Dfs,50,1,,1,beginner,
tr-l1-2,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,LeetCode,Easy,trees,recursion,recursion,Amazon|Google|Hike,high,20,high,,,,,Recursion,50,1,,1,easy,
tr-l2-1,Same Tree,https://leetcode.com/problems/same-tree/,LeetCode,Easy,trees,DFS,DFS,Amazon|Flipkart|Goldman Sachs|Microsoft|TCS,high,20,medium,,,,,Dfs,50,2,,2,easy,
tr-l2-2,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,LeetCode,Easy,trees,DFS,DFS,Amazon|Facebook|Microsoft,high,20,medium,,,,,Dfs,50,2,,2,easy,
tr-l3-1,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,LeetCode,Medium,trees,range,range,Amazon|Facebook|Oyo|Qualcomm|Rooms|Samsung|Snapdeal|Vmware|Walmart|Wooker,high,40,high,,,,,Range,50,3,,3,interview,
tr-l3-2,Lowest Common Ancestor of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,LeetCode,Medium,trees,BST,BST,Goldman Sachs|MAQ Software|Microsoft,high,40,high,,,,,Bst,50,3,,3,interview,
tr-l4-1,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,LeetCode,Hard,trees,BFS/DFS,BFS/DFS,Google|LinkedIn,medium,60,medium,,,,,Bfs/dfs,50,4,,4,mock,
bst-l1-1,Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/,LeetCode,Easy,bst,BST,BST,TCS,high,20,medium,,,,,Bst,50,1,,1,beginner,
bst-l2-1,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,LeetCode,Medium,bst,inorder,inorder,Accolite|Amazon|Goldman Sachs|Google,high,40,high,,,,,Inorder,50,2,,2,medium,
bst-l3-1,Construct Binary Search Tree from Preorder,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,LeetCode,Medium,bst,BST,BST,Google,medium,40,medium,,,,,Bst,50,3,,3,interview,
hp-l1-1,Last Stone Weight,https://leetcode.com/problems/last-stone-weight/,LeetCode,Easy,heap,heap,heap,Accenture,low,20,low,,,,,Heap,50,1,,1,beginner,
hp-l2-1,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,LeetCode,Medium,heap,heap,heap,Adobe|Amazon|Facebook|Goldman Sachs|Microsoft|Walmart,high,40,high,,,,,Heap,50,2,,2,medium,
hp-l3-1,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,LeetCode,Hard,heap,two-heaps,two-heaps,Google|Morgan Stanley,medium,60,medium,,,,,Two Heaps,50,3,,3,interview,
gd-l1-1,Max Area of Island,https://leetcode.com/problems/max-area-of-island/,LeetCode,Medium,bfs-dfs,DFS-grid,DFS-grid,Amazon,high,40,high,,,,,Dfs Grid,50,1,,1,beginner,
gd-l2-1,Clone Graph,https://leetcode.com/problems/clone-graph/,LeetCode,Medium,bfs-dfs,BFS,BFS,Apple|Facebook|Google|MAQ Software|Meta,high,40,high,,,,,Bfs,50,2,,2,medium,
gd-l2-2,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,LeetCode,Medium,bfs-dfs,DFS,DFS,Google,medium,40,medium,,,,,Dfs,50,2,,2,medium,
gd-l3-1,Number of Islands,https://leetcode.com/problems/number-of-islands/,LeetCode,Medium,bfs-dfs,BFS/DFS,BFS/DFS,All,very-high,40,critical,,,number-of-islands,,Bfs/dfs,50,3,,3,interview,
gd-l4-1,Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,LeetCode,Medium,bfs-dfs,multi-source-BFS,multi-source-BFS,Amazon,high,40,high,,,,,Multi Source Bfs,50,4,,4,mock,
gr-l1-1,Assign Cookies,https://leetcode.com/problems/assign-cookies/,LeetCode,Easy,greedy,greedy,greedy,TCS,low,20,low,,,,,Greedy,50,1,,1,beginner,
gr-l2-1,Jump Game,https://leetcode.com/problems/jump-game/,LeetCode,Medium,greedy,greedy,greedy,Amazon|Facebook|Google|Intuit|Microsoft,high,40,high,,,,,Greedy,50,2,,2,medium,
gr-l2-2,Gas Station,https://leetcode.com/problems/gas-station/,LeetCode,Medium,greedy,greedy,greedy,Google,medium,40,medium,,,,,Greedy,50,2,,2,medium,
gr-l3-1,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,LeetCode,Medium,greedy,intervals,intervals,Amazon|Meta,high,40,high,,,,,Greedy|Intervals,50,3,,3,interview,
gf-l1-1,Find if Path Exists in Graph,https://leetcode.com/problems/find-if-path-exists-in-graph/,LeetCode,Easy,graphs,BFS,BFS,Cognizant,medium,20,medium,,,,,Bfs,50,1,,1,beginner,
gf-l2-1,Course Schedule,https://leetcode.com/problems/course-schedule/,LeetCode,Medium,graphs,topological-sort,topological-sort,Amazon,high,40,high,,,,,Topological Sort,50,2,,2,medium,
gf-l3-1,Number of Connected Components,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,LeetCode,Medium,graphs,union-find,union-find,Google,medium,40,medium,,,,,Union Find,50,3,,3,interview,
gf-l4-1,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,LeetCode,Medium,graphs,topological-sort,topological-sort,Microsoft,high,40,high,,,,,Topological Sort,50,4,,4,mock,
dp-l1-1,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,LeetCode,Easy,dp,1d-dp,1d-dp,Intuit|TCS,high,20,high,,,,,1d Dp,50,1,,1,beginner,
dp-l2-1,House Robber,https://leetcode.com/problems/house-robber/,LeetCode,Medium,dp,1d-dp,1d-dp,Amazon|Apple|Uber,high,40,high,,,,,1d Dp,50,2,,2,medium,
dp-l2-2,Coin Change,https://leetcode.com/problems/coin-change/,LeetCode,Medium,dp,unbounded-knapsack,unbounded-knapsack,Adobe|Apple|Barclays|Google|Microsoft|Samsung,high,40,high,,,,,Unbounded Knapsack,50,2,,2,medium,
dp-l3-1,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,LeetCode,Medium,dp,LIS,LIS,Adobe|Amazon|Facebook|Fidelity|Google|International|Microsoft,very-high,40,medium,,,,,Lis,50,3,,3,interview,
dp-l4-1,Edit Distance,https://leetcode.com/problems/edit-distance/,LeetCode,Medium,dp,2d-dp,2d-dp,Citrix|Goldman Sachs|Google,low,40,medium,,,,,2d Dp,50,4,,4,mock,
