slug,name,type,oa_pattern,coding_difficulty,aptitude_weightage,rounds,communication,resume,projects,hr_questions,priority,strategy
amcat,AMCAT,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why AMCAT?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
aptitude,Aptitude & Math,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Aptitude & Math?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
dsa,DSA & Core Notes,product,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why DSA & Core Notes?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
cocubes,CoCubes,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why CoCubes?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
dell,Dell Technologies,product,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Dell Technologies?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
elitmus,eLitmus,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why eLitmus?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
epam,EPAM Systems,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why EPAM Systems?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
hcl,HCL Technologies,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why HCL Technologies?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
huawei-tech,Huawei Technologies,product,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Huawei Technologies?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
hexaware,Hexaware Technologies,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Hexaware Technologies?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
ibm,IBM,product,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why IBM?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
ion-idea,IonIdea,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why IonIdea?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
lg-soft,LG Soft,product,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why LG Soft?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
l-and-t,L&T Technology Services,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why L&T Technology Services?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
lumen-data,Lumen Technologies,product,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Lumen Technologies?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
mindtree,Mindtree,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Mindtree?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
mphasis,Mphasis,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Mphasis?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
pseudocode,Pseudocode Papers,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Pseudocode Papers?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
robert-bosch,Robert Bosch,product,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Robert Bosch?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
sopra-steria,Sopra Steria,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Sopra Steria?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
secure-eyes,SecureEyes,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why SecureEyes?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
tek-system,TEKsystems,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why TEKsystems?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
unisys,Unisys,product,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Unisys?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
zenpact,Genpact,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Genpact?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
zoho,Zoho Corporation,product,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why Zoho Corporation?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
zenq,ZenQ,service,Comprehensive OA Pattern & Practice Papers,Easy–Medium,High,OA|Technical Interview|HR,"Clear, professional, structured STAR framework",Clean 1-page ATS friendly resume,Include key full-stack or technical projects,Why ZenQ?|Strengths & Weaknesses|Career Goals,Company PYQs + Aptitude practice,Clear OA rounds using provided study materials and PYQs.
